"Data","NomeMunicipio","CodigoMunicipio","Casos_Circ","Casos_Resp","Obitos_Circ","Obitos_Resp","Ano","CO","PM2p5","Temperatura","UmidRel"
2022-11-28,"Rio de Janeiro",330455,34,31,5,6,2022,90.8226525098144,16.3260613916805,24.3541809082031,83.7666706728487
2022-11-29,"Rio de Janeiro",330455,59,29,9,6,2022,82.3341892441931,12.5799264338866,24.7334533691406,80.873848831229
2022-11-30,"Rio de Janeiro",330455,51,32,7,4,2022,95.4374428374649,10.9932933867185,24.759423828125,82.2676756525065
2022-12-01,"Rio de Janeiro",330455,63,42,10,16,2022,128.403868870919,10.2336077389964,25.78798828125,80.4761221221045
2022-12-02,"Rio de Janeiro",330455,49,39,7,9,2022,136.768733227655,9.8320409591679,26.4558654785156,76.5144671744432
2022-12-03,"Rio de Janeiro",330455,29,24,8,5,2022,97.6795462293012,14.2071252540177,26.2334228515625,74.5851024344611
2022-12-04,"Rio de Janeiro",330455,30,37,7,9,2022,109.807160697528,23.1224142055453,26.5612121582031,72.3559820201546
2022-12-05,"Rio de Janeiro",330455,42,27,4,7,2022,84.7336423248635,13.7144873235684,26.7215209960938,68.5988543448733
2022-12-06,"Rio de Janeiro",330455,58,35,10,5,2022,104.376859155764,25.5217926792284,25.1381164550781,76.5404152730109
2022-12-07,"Rio de Janeiro",330455,81,37,7,10,2022,130.842799705988,23.1714265552796,24.1986328125,89.749488420267
2022-12-08,"Rio de Janeiro",330455,59,31,10,5,2022,136.080437584951,9.04816799263131,23.3865905761719,83.9601369512709
2022-12-09,"Rio de Janeiro",330455,33,29,4,8,2022,167.883186463769,1.72898140249345,23.9260192871094,78.8740309478143
2022-12-10,"Rio de Janeiro",330455,40,33,7,9,2022,147.815732987056,12.4756676100901,24.3560119628906,81.3045796159322
2022-12-11,"Rio de Janeiro",330455,28,20,7,6,2022,179.611333805951,15.3309205330743,25.6381164550781,81.803556054727
2022-12-12,"Rio de Janeiro",330455,53,24,12,5,2022,196.960485254749,6.94527457767435,27.1837097167969,77.9285375446134
2022-12-13,"Rio de Janeiro",330455,63,20,8,5,2022,188.196551675901,12.007931537994,25.1720520019531,84.6135288834839
2022-12-14,"Rio de Janeiro",330455,48,29,5,7,2022,63.412045392397,7.31309235391109,23.010888671875,67.2888152045907
2022-12-15,"Rio de Janeiro",330455,50,25,9,6,2022,57.3744785015151,7.80035769309961,23.3605590820313,65.5066817863983
2022-12-16,"Rio de Janeiro",330455,57,35,5,9,2022,83.503003622809,12.5471117939924,24.4751220703125,74.7979207294271
2022-12-17,"Rio de Janeiro",330455,24,17,3,5,2022,104.67580580098,9.81173187142304,23.4755187988281,84.3374807488448
2022-12-18,"Rio de Janeiro",330455,40,26,7,3,2022,73.3206704239819,18.9558777563548,23.4018493652344,82.0862620231795
2022-12-19,"Rio de Janeiro",330455,56,26,5,7,2022,63.5278922800353,8.94986307287127,23.3197570800781,78.8246313399005
2022-12-20,"Rio de Janeiro",330455,47,30,10,2,2022,74.6399564377498,9.67661506479089,21.9535461425781,88.4565607267119
2022-12-21,"Rio de Janeiro",330455,53,29,8,4,2022,56.6618716391076,11.5508216325111,22.4053283691406,89.230745215582
2022-12-22,"Rio de Janeiro",330455,55,22,7,5,2022,60.1251883836085,6.34048458181269,22.43056640625,82.5100534876022
2022-12-23,"Rio de Janeiro",330455,44,28,9,7,2022,49.4738259249061,10.5366337876944,22.7777648925781,74.2357456293297
2022-12-24,"Rio de Janeiro",330455,34,26,6,10,2022,56.7422091535263,9.2855083622112,23.5518737792969,75.4990482319823
2022-12-25,"Rio de Janeiro",330455,39,29,9,12,2022,82.5729955522547,8.21036039155842,24.4905029296875,79.2058934246314
2022-12-26,"Rio de Janeiro",330455,54,31,7,9,2022,95.6205212787609,16.3055942081769,24.8300720214844,82.6790445951423
2022-12-27,"Rio de Janeiro",330455,52,34,8,6,2022,131.904151601248,18.2925905534148,25.3100524902344,84.2986977990983
2022-12-28,"Rio de Janeiro",330455,57,33,6,5,2022,118.866022802422,25.7086600896628,25.8068176269531,81.3109900648943
2022-12-29,"Rio de Janeiro",330455,50,27,5,4,2022,175.448448658244,34.0452519509427,25.1735168457031,83.5482556614868
2022-12-30,"Rio de Janeiro",330455,44,34,6,6,2022,127.940971594853,22.371485108863,22.9480224609375,92.5643065911633
2022-12-31,"Rio de Janeiro",330455,28,31,6,9,2022,103.063307221873,1.10595266278324,24.3016296386719,84.8556499283696
2023-01-01,"Rio de Janeiro",330455,68,37,9,11,2023,120.450906138103,15.1471004627979,24.6279846191406,85.297616434652
2023-01-02,"Rio de Janeiro",330455,76,29,13,6,2023,98.1798038424131,4.13359790840673,25.5701843261719,76.0783631769926
